"filename", "language", "YAML", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "Markdown", "comment", "blank", "total"
"c:\Users\chris\Desktop\RO-Nation.live\src\app\press\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 4, 0, 7
"c:\Users\chris\Desktop\RO-Nation.live\src\app\services\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\chris\Desktop\RO-Nation.live\src\app\shasha\(portal)\analytics\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 2, 3, 14
"c:\Users\chris\Desktop\RO-Nation.live\src\app\shasha\(portal)\announce\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 1, 5, 25
"c:\Users\chris\Desktop\RO-Nation.live\src\app\shasha\(portal)\audit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\chris\Desktop\RO-Nation.live\src\app\shasha\(portal)\comp\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 2, 5, 37
"c:\Users\chris\Desktop\RO-Nation.live\src\app\shasha\(portal)\door\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 33, 0, 24, 7, 64
"c:\Users\chris\Desktop\RO-Nation.live\src\app\shasha\(portal)\feedback\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 27, 0, 2, 5, 34
"c:\Users\chris\Desktop\RO-Nation.live\src\app\shasha\(portal)\keys\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\chris\Desktop\RO-Nation.live\src\app\shasha\(portal)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 10, 1, 22
"c:\Users\chris\Desktop\RO-Nation.live\src\app\shasha\(portal)\payouts\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\chris\Desktop\RO-Nation.live\src\app\shasha\(portal)\shows\[id]\edit\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 71, 0, 7, 8, 86
"c:\Users\chris\Desktop\RO-Nation.live\src\app\shasha\(portal)\shows\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 36, 0, 5, 5, 46
"c:\Users\chris\Desktop\RO-Nation.live\src\app\shasha\(portal)\shows\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 46, 0, 11, 8, 65
"c:\Users\chris\Desktop\RO-Nation.live\src\app\shasha\invoice\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 30, 0, 4, 5, 39
"c:\Users\chris\Desktop\RO-Nation.live\src\app\shasha\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, -30, 0, 21, -2, -11
"c:\Users\chris\Desktop\RO-Nation.live\src\app\survey\[code]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 63, 0, 29, 3, 95
"c:\Users\chris\Desktop\RO-Nation.live\src\app\tickets\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 4, 2, 18
"c:\Users\chris\Desktop\RO-Nation.live\src\app\tickets\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 10, 0, 2, 0, 12
"c:\Users\chris\Desktop\RO-Nation.live\src\components\account\account-home.tsx", "TypeScript JSX", 0, 0, 0, 0, 49, 0, 9, 3, 61
"c:\Users\chris\Desktop\RO-Nation.live\src\components\account\waitlist-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 55, 0, 5, 6, 66
"c:\Users\chris\Desktop\RO-Nation.live\src\components\company-nav.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\chris\Desktop\RO-Nation.live\src\components\company-shell.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 5, 2, 32
"c:\Users\chris\Desktop\RO-Nation.live\src\components\confirm-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 3, 0, 6, 0, 9
"c:\Users\chris\Desktop\RO-Nation.live\src\components\event-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\chris\Desktop\RO-Nation.live\src\components\event-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 5, 1, 37
